"id","tagname","category"
"1","ngo","ORGANIZATOR - FORMA"
"2","publiczny","ORGANIZATOR - FORMA"
"3","prywatny","ORGANIZATOR - FORMA"
"4","bezpłatne","ODPŁATNOŚĆ"
"5","płatne","ODPŁATNOŚĆ"
"6","indoor","PRZESTRZEŃ WYDARZENIA"
"7","outdoor","PRZESTRZEŃ WYDARZENIA"
"8","clubbing","TYP WYDARZENIA"
"9","debata","TYP WYDARZENIA"
"10","festiwal","TYP WYDARZENIA"
"11","gra miejska","TYP WYDARZENIA"
"12","gry","TYP WYDARZENIA"
"13","hackathon","TYP WYDARZENIA"
"14","handel","TYP WYDARZENIA"
"15","interwencja","TYP WYDARZENIA"
"16","koncert","TYP WYDARZENIA"
"17","konferencja","TYP WYDARZENIA"
"18","konkurs","TYP WYDARZENIA"
"19","oprowadzanie","TYP WYDARZENIA"
"20","performance","TYP WYDARZENIA"
"21","potańcówka","TYP WYDARZENIA"
"22","seans","TYP WYDARZENIA"
"23","spacer","TYP WYDARZENIA"
"24","spektakl","TYP WYDARZENIA"
"25","spotkanie","TYP WYDARZENIA"
"26","warsztaty","TYP WYDARZENIA"
"27","wykład","TYP WYDARZENIA"
"28","wystawa","TYP WYDARZENIA"
"29","dla dzieci","TYP WYDARZENIA"
"30","dziedzictwo","GATUNEK"
"31","edukacja kulturowa","GATUNEK"
"32","film","GATUNEK"
"33","fotografia","GATUNEK"
"34","gry komputerowe","GATUNEK"
"35","interdyscyplinarne","GATUNEK"
"36","kabaret","GATUNEK"
"37","kulinaria","GATUNEK"
"38","literatura","GATUNEK"
"39","moda","GATUNEK"
"40","muzyka","GATUNEK"
"41","nowe media","GATUNEK"
"42","podróże","GATUNEK"
"43","projektowanie","GATUNEK"
"44","projekty miejskie","GATUNEK"
"45","streetart","GATUNEK"
"46","sztuki wizualne","GATUNEK"
"47","taniec","GATUNEK"
"48","teatr","GATUNEK"
"49","seria","POWIĄZANIA"
"50","subwydarzenie","POWIĄZANIA"
"51","unikatowe","POWIĄZANIA"
"52","wieczór poetycki","TYP WYDARZENIA"
"53","poezja","GATUNEK"
"54","blues","INNE"
"55","folk","INNE"
"56","plener fotograficzny","TYP WYDARZENIA"
"57","promocja publikacji","TYP WYDARZENIA"
"58","historia","GATUNEK"
"59","architektura","GATUNEK"
"60","ekologia","GATUNEK"
"62","zarządzanie","GATUNEK"
"63","sport","GATUNEK"
"64","malarstwo","GATUNEK"
"65","rezydencja","TYP WYDARZENIA"
"66","USUŃ","INNE"
"67","festyn","TYP WYDARZENIA"
"68","polityka","GATUNEK"
"69","IT","GATUNEK"
"70","rękodzieło","GATUNEK"
"71","zdrowie","gatunek"
"72","zdrowie","GATUNEK"
"73","GATUNEK","prawo"
"74","prawo","GATUNEK"
"75","filozofia","GATUNEK"
"76","plener malarski","TYP WYDARZENIA"
"77","jam session","TYP WYDARZENIA"
"78","pokaz","TYP WYDARZENIA"
"79","akcja","TYP WYDARZENIA"
